State,District,Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Bagasse_Tonnes,Trash_Tonnes,Press_Mud_Tonnes,Bagasse_Ton_per_Ha,Trash_Ton_per_Ha,Press_Mud_Ton_per_Ha
Gujarat,Bhavnagar,1997 - 1998,200.0,13000.0,65.0,3640.0000000000005,1560.0,520.0,18.200000000000003,7.8,2.6
Gujarat,Jamnagar,1997 - 1998,500.0,33000.0,66.0,9240.0,3960.0,1320.0,18.48,7.92,2.64
Gujarat,Junagadh,1997 - 1998,8000.0,756000.0,94.5,211680.00000000003,90720.0,30240.0,26.46,11.34,3.7800000000000002
Gujarat,Kachchh,1997 - 1998,200.0,15000.0,75.0,4200.0,1800.0,600.0,21.000000000000004,9.0,3.0
Gujarat,Kheda,1997 - 1998,600.0,49000.0,81.67,13720.000000000002,5880.0,1960.0,22.867600000000003,9.8004,3.2668
Gujarat,Rajkot,1997 - 1998,500.0,37000.0,74.0,10360.000000000002,4440.0,1480.0,20.720000000000002,8.879999999999999,2.96
Gujarat,Sabar kantha,1997 - 1998,500.0,37000.0,74.0,10360.000000000002,4440.0,1480.0,20.720000000000002,8.879999999999999,2.96
Gujarat,Surat,1997 - 1998,95200.0,6888000.0,72.35,1928640.0000000002,826560.0,275520.0,20.258,8.681999999999999,2.8939999999999997
Gujarat,Surendranagar,1997 - 1998,400.0,32000.0,80.0,8960.0,3840.0,1280.0,22.400000000000002,9.6,3.2
Gujarat,Vadodara,1997 - 1998,1400.0,104000.0,74.29,29120.000000000004,12480.0,4160.0,20.801200000000005,8.9148,2.9716000000000005
Gujarat,Valsad,1997 - 1998,38600.0,2636000.0,68.29,738080.0000000001,316320.0,105440.0,19.121200000000005,8.1948,2.7316000000000003
Haryana,Ambala,1997 - 1998,12000.0,580000.0,48.33,162400.00000000003,69600.0,23200.0,13.5324,5.7996,1.9332
Haryana,Bhiwani,1997 - 1998,1000.0,50000.0,50.0,14000.000000000002,6000.0,2000.0,14.000000000000002,6.0,2.0
Haryana,Faridabad,1997 - 1998,9000.0,380000.0,42.22,106400.00000000001,45600.0,15200.0,11.8216,5.0664,1.6888
Haryana,Fatehabad,1997 - 1998,2000.0,100000.0,50.0,28000.000000000004,12000.0,4000.0,14.000000000000002,6.0,2.0
Haryana,Gurgaon,1997 - 1998,1000.0,50000.0,50.0,14000.000000000002,6000.0,2000.0,14.000000000000002,6.0,2.0
Haryana,Hisar,1997 - 1998,4000.0,210000.0,52.5,58800.00000000001,25200.0,8400.0,14.700000000000001,6.3,2.1
Haryana,Jhajjar,1997 - 1998,4000.0,150000.0,37.5,42000.00000000001,18000.0,6000.0,10.500000000000002,4.5,1.5
Haryana,Jind,1997 - 1998,9000.0,460000.0,51.11,128800.00000000001,55200.0,18400.0,14.3108,6.1331999999999995,2.0444
Haryana,Kaithal,1997 - 1998,5000.0,250000.0,50.0,70000.0,30000.0,10000.0,14.000000000000002,6.0,2.0
Haryana,Karnal,1997 - 1998,10000.0,630000.0,63.0,176400.00000000003,75600.0,25200.0,17.64,7.56,2.52
Haryana,Kurukshetra,1997 - 1998,14000.0,770000.0,55.0,215600.00000000003,92400.0,30800.0,15.400000000000002,6.6,2.2
Haryana,Panchkula,1997 - 1998,1000.0,40000.0,40.0,11200.000000000002,4800.0,1600.0,11.200000000000001,4.8,1.6
